公司或商業登記名稱,公司統一編號,業者地址,食品業者登錄字號,登錄項目
二六九滿巷自助餐店,93193853,台北市信義區吳興街269巷14號1樓,A-193193853-00001-0,餐飲場所
葉葉樹食店,93195135,台北市信義區崇德街36號1樓,A-193195135-00001-5,餐飲場所
妞妞的商行,93197318,台北市信義區吳興街156巷35號,A-193197318-00001-0,餐飲場所
詩丹咖啡店,93198724,台北市信義區忠孝東路5段71巷26號,A-193198724-00001-2,餐飲場所
常茂食品商行,93200539,台北市信義區永吉路30巷158弄9號,A-193200539-00001-0,餐飲場所
松居自助餐店,93203959,台北市信義區松山路281號1樓,A-193203959-00001-9,餐飲場所
蒔慕股份有限公司,93366003,台北市信義區忠孝東路四段515號1樓D區1002,A-193366003-00005-3,餐飲場所
香港商聞綺台灣有限公司,97502057,台北市信義區台北市松壽路11號1樓,A-197502057-00004-7,餐飲場所
香港商聞綺台灣有限公司,97502057,台北市信義區忠孝東路四段505號B區B2F櫃號012,A-197502057-00032-8,餐飲場所
烘焙雲股份有限公司,97594703,台北市信義區松壽路20號,A-197594703-00001-3,餐飲場所
天辰寰球股份有限公司,97606166,台北市信義區光復南路449-1號1樓,A-197606166-00001-0,餐飲場所
貳虎茶倉餐飲股份有限公司,97606412,台北市信義區永吉路30巷117號,A-197606412-00002-5,餐飲場所
奧立娛樂股份有限公司火星咖啡分公司,98641113,台北市信義區松壽路22號,A-198641113-00001-2,餐飲場所
冠美早餐店,99634646,台北市信義區永吉路33號1樓,A-199634646-00001-6,餐飲場所
玖盛小吃店,38498438,台北市信義區信義路6段83號1樓,A-200196844-00001-2,餐飲場所
怡人食品行,01624145,台北市信義區松信路78號1樓,A-200197126-00001-6,餐飲場所
納尼起酥蛋糕,,台北市信義區虎林街60巷2號,A-200197154-00001-7,餐飲場所
永楹有限公司,83225130,台北市信義區莊敬路391巷11弄3號,A-200197225-00001-6,餐飲場所
陸地涼麵,,台北市信義區松山路180號,A-200197383-00001-1,餐飲場所
洪家甜不辣 肉圓 油粿,,台北市信義區永吉路517巷8弄2號對面,A-200197636-00001-2,餐飲場所
齒留香湯包專賣店,21756404,台北市信義區台北市信義區虎林街132巷43號,A-200197669-00001-8,餐飲場所
寶咖咖啡商號,72986695,台北市信義區忠孝東路5段492巷8號,A-200198177-00001-3,餐飲場所
蜀翻天酸辣粉,,台北市信義區吳興街8巷5號,A-200198387-00001-6,餐飲場所
睿宸商行,76446538,台北市信義區莊敬路289巷4弄12號1樓,A-200198942-00001-3,餐飲場所
萊客早餐吧,26202142,台北市信義區永吉路120巷27弄1號1樓,A-200198969-00001-2,餐飲場所
妙觀音素食有限公司,92605532,台北市信義區忠孝東路五段1之5號,A-200198994-00016-6,餐飲場所
瑞哥小吃店,88290530,台北市信義區基隆路2段19號,A-202268219-00001-0,餐飲場所
嗎哪早餐店,31814213,台北市信義區安康里信義路６段１７號,A-202268381-00001-0,餐飲場所
澤承韓式小吃店,42503671,台北市信義區虎林街137號,A-202268588-00001-9,餐飲場所
品麥麵店,93133574,台北市信義區嘉興街179-16號,A-202268617-00001-2,餐飲場所
華吉商行,00627008,台北市信義區忠孝東路5段165巷5號,A-202268805-00002-2,餐飲場所
五湖四海豆漿店,73174920,台北市信義區松信路91號1樓,A-202268840-00001-0,餐飲場所
輕徠輕食,,台北市信義區松高路19號,A-202268990-00001-6,餐飲場所
