candidate_id,candidate_name,search_status,lead_count,lead_1_url,lead_1_domain,lead_1_title,lead_2_url,lead_2_domain,lead_2_title,lead_3_url,lead_3_domain,lead_3_title,verification_status,reviewer,notes
056,Ziga Zaga－台北君悅酒店,success,0,,,,,,,,,,no_nonplatform_lead,,
057,原木燒烤餐廳 Wildwood,success,0,,,,,,,,,,no_nonplatform_lead,,
058,日本橋海鮮丼 辻半－微風信義店,success,0,,,,,,,,,,no_nonplatform_lead,,
059,穆記小吃牛肉麵館,success,1,https://www.mobile01.com/topicdetail.php?f=189&t=1181672&p=3,mobile01.com,穆記牛肉麵館 (第3頁) - Mobile01,,,,,,,needs_direct_verification,,
060,橘色涮涮屋新光三越A9店,success,0,,,,,,,,,,no_nonplatform_lead,,
061,時時香－微風南山店,success,0,,,,,,,,,,no_nonplatform_lead,,
062,L.A PHO 越南美食餐廳,success,2,https://www.ialley.tw/store/show/12682,ialley.tw,L.A PHO 越南美食餐廳 - 券券,https://www.foodytw.com/review/4676,foodytw.com,【台北信義區夜店旁—LA.PHO美式越南餐廳】 - Foody 吃貨,,,,needs_direct_verification,,
063,寒舍食譜－台北寒舍艾美酒店,success,0,,,,,,,,,,no_nonplatform_lead,,
064,The Ukai Taipei,success,3,https://www.ukai.co.jp/ct/taipei/,ukai.co.jp,THE UKAI TAIPEI 鐵板燒・割烹料理,https://yaya.tw/ukai-taipei/,yaya.tw,信義區高空餐廳｜The Ukai Taipei 微風南山米其林一星餐廳。日本鐵板燒首選 - 劈腿女孩Yaya,https://roakuo.com/2025/06/the-ukai-taipei.html,roakuo.com,[台北] 頂級日式鐵板燒，The Ukai Taipei • 鍵盤美食家週記,needs_direct_verification,,
065,愛爾蘭瘋薯（信義威秀）,success,0,,,,,,,,,,no_nonplatform_lead,,
